Word,BSL Rank,SFI,U,D,F
revival,1657,49.64,9.2,0.6819,748
nationalize,1658,49.32,8.55,0.6443,748
swiftly,1659,49.58,9.07,0.6665,747
trainee,1660,49.42,8.76,0.6747,747
nationalism,1661,48.69,7.4,0.4282,747
void,1662,50.44,11.06,0.9442,746
confirmation,1663,50.51,11.25,0.9681,745
prejudice,1664,50.13,10.31,0.8464,745
enforceable,1665,50.07,10.16,0.8323,745
instinct,1666,49.83,9.62,0.746,745
dub,1667,49.63,9.18,0.6816,745
deliberate,1668,50.54,11.32,0.9767,744
approximation,1669,49.86,9.67,0.7777,744
unsecured,1670,50.21,10.5,0.8812,743
quotation,1671,50.18,10.43,0.8754,743
cruise,1672,50.15,10.35,0.8614,743
timetable,1673,49.54,9.01,0.6929,743
mold,1674,50.56,11.38,0.9884,742
blast,1675,49.59,9.11,0.6769,742
seeker,1676,49.93,9.85,0.783,741
accomplishment,1677,49.91,9.79,0.7862,741
alas,1678,48.76,7.51,0.4532,741
impair,1679,50.08,10.2,0.8456,740
memorandum,1680,49.87,9.7,0.7989,740
testify,1681,50.16,10.37,0.8573,739
prod,1682,49.8,9.54,0.747,739
liberalize,1683,49.26,8.44,0.5871,739
bully,1684,49.13,8.19,0.5531,739
persistent,1685,50.56,11.38,0.9962,738
catastrophe,1686,50.09,10.2,0.8383,738
endless,1687,50.29,10.68,0.9069,737
revaluation,1688,50.21,10.5,0.8869,737
swell,1689,49.66,9.26,0.7107,737
cancellation,1690,50.3,10.71,0.9208,736
worthy,1691,50.27,10.65,0.9059,735
resale,1692,50.07,10.16,0.8516,735
progressive,1693,50.5,11.23,0.9848,734
corrective,1694,49.98,9.95,0.8242,734
physician,1695,49.94,9.86,0.815,734
genocide,1696,47.37,5.46,0.1559,734
legitimacy,1697,49.71,9.36,0.7288,733
speculator,1698,50.51,11.25,0.9913,732
inconsistent,1699,50.33,10.79,0.9343,732
captain,1700,50.31,10.73,0.9255,732
plainly,1701,49.31,8.54,0.6161,732
equate,1702,50.31,10.75,0.9331,731
programmer,1703,50.44,11.07,0.9711,730
unexpectedly,1704,50.18,10.42,0.8839,730
timber,1705,50.14,10.34,0.8815,730
credential,1706,50.02,10.04,0.8313,730
lately,1707,49.97,9.94,0.8191,730
randomly,1708,49.82,9.6,0.7848,730
colonial,1709,49.62,9.16,0.7116,730
underpin,1710,50.41,10.99,0.963,729
diary,1711,49.95,9.89,0.8264,729
heir,1712,49.94,9.87,0.8073,729
genuinely,1713,49.93,9.84,0.8112,729
passport,1714,49.72,9.37,0.7453,728
severely,1715,50.48,11.18,0.9918,727
grim,1716,49.09,8.11,0.5632,727
relational,1717,48.97,7.88,0.5634,727
brutal,1718,48.7,7.41,0.4575,727
quasi,1719,50.48,11.18,0.994,726
monopolist,1720,50.21,10.51,0.9098,726
physically,1721,50.46,11.11,0.9873,725
disposition,1722,49.94,9.86,0.837,725
histogram,1723,48.58,7.21,0.4711,725
misunderstand,1724,50.45,11.1,0.9875,724
stack,1725,50.44,11.07,0.9834,724
recipe,1726,50.31,10.75,0.9416,724
outgoing,1727,49.96,9.91,0.8261,724
worksheet,1728,49.34,8.58,0.6777,724
biography,1729,49.06,8.05,0.5577,724
serial,1730,50.37,10.89,0.9636,723
intercept,1731,50.09,10.22,0.872,723
dent,1732,50,10,0.8378,723
absorption,1733,49.91,9.78,0.8249,723
importer,1734,50.3,10.72,0.9451,722
verbal,1735,50.3,10.71,0.944,722
peacekeeping,1736,48.4,6.92,0.3925,722
continuity,1737,50.39,10.93,0.9725,721
geography,1738,50.36,10.86,0.9633,721
dismal,1739,49.45,8.82,0.6736,721
magnetic,1740,50.15,10.35,0.8955,720
generalize,1741,50.06,10.13,0.8737,720
confrontation,1742,49.71,9.35,0.7537,720
demise,1743,50.01,10.03,0.8522,719
reversal,1744,50.36,10.86,0.9682,718
tide,1745,49.94,9.86,0.8315,718
saver,1746,50.31,10.74,0.9553,717
tick,1747,50.24,10.56,0.9332,717
bug,1748,50.08,10.18,0.8805,716
intensify,1749,49.98,9.94,0.8454,716
reluctance,1750,49.89,9.75,0.8203,716
aviation,1751,49.56,9.03,0.7162,716
defy,1752,49.41,8.73,0.6693,716
confer,1753,50.24,10.56,0.9372,715
portable,1754,50.4,10.97,0.9912,714
surveillance,1755,49.97,9.94,0.8504,714
decimal,1756,49.25,8.42,0.6611,714
realizable,1757,49.05,8.03,0.6059,714
