This list contains a sample (every seventh entry) of the the top 60,000 lemmas from the 
Corpus of Contemporary American English (COCA) (http://corpus.byu.edu/coca/).
You can also donwload an Excel verion: http://www.wordfrequency.info/files/wordlist_60k.xls

Note that this is the *only* frequency list of English that is corrected for a list this large.
All other frequency lists (if they are corrected at all, to remove bad entries) only correct the top 5,000 or 10,000 words.

It is also possible to purchase lists with the 200-300 most frequent collocates for each of the 
60,000 words in the frequency list.


For more information:

http://www.wordfrequency.info: Word frequency lists
http://corpus.byu.edu/coca/: Corpus of Contemporary American English (COCA)
http://davies-linguistics.byu.edu/ : Mark Davies

-------------------------------------------------------------------

Note that there are many lower-frequency words (e.g. #35,000-40,000 and lower) that are probably really NOUN,
but which are tagged as ADJ because they have an ADJ "function" (e.g. a *weight-training* regimen, a *sibilant* consonant). 


freq = frequency in the corpus
dispersion = Juilland's <d> dispersion measure (0-1): how "evenly" the lemma is distributed across the corpus
rank = a function of score (not shown here), but which is calculated as: freq * disp
pos = part of speech (see http://ucrel.lancs.ac.uk/claws7tags.html)


rank	lemma	PoS	freq	dispersion
1624	bear	v	22190	0.97
1631	consequence	n	23307	0.92
1638	minority	n	23167	0.92
1645	aid	n	22642	0.93
1652	trail	n	23030	0.91
1659	human	n	22022	0.95
1666	fear	v	21333	0.98
1673	prime	j	22075	0.94
1680	like	j	21723	0.95
1687	revenue	n	22445	0.92
1694	bridge	n	21497	0.95
1701	anymore	r	21771	0.94
1708	currently	r	21636	0.94
1715	accident	n	20972	0.97
1722	notion	n	21801	0.93
1729	search	v	20943	0.96
1736	feature	v	21678	0.92
1743	root	n	20774	0.96
1750	hardly	r	20757	0.95
1757	ad	n	21064	0.93
1764	ought	v	21552	0.91
1771	slow	j	20404	0.96
1778	chief	n	20453	0.95
1785	cat	n	21135	0.92
1792	English	j	20235	0.95
1799	funny	j	20399	0.94
1806	due	i	21141	0.90
1813	crazy	j	20345	0.93
1820	frequently	r	20508	0.92
1827	ancient	j	19818	0.95
1834	gender	n	22190	0.85
1841	long	c	19227	0.97
1848	eliminate	v	19773	0.94
1855	producer	n	19679	0.94
1862	appeal	n	19561	0.95
1869	complain	v	19102	0.97
1876	perception	n	21086	0.87
1883	his	p	19667	0.93
1890	bond	n	19856	0.92
1897	check	n	18764	0.97
1904	clear	v	19013	0.95
1911	clean	v	18766	0.96
1918	seriously	r	18328	0.98
1925	stretch	v	19014	0.93
1932	fashion	n	18483	0.96
1939	below	i	18353	0.96
1946	improvement	n	18977	0.92
1953	initial	j	19019	0.92
1960	question	v	17924	0.97
1967	necessarily	r	18334	0.94
1974	dance	v	18263	0.94
1981	apart	r	17872	0.96
1988	lack	v	18215	0.94
1995	faculty	n	20104	0.85
2002	bomb	n	18284	0.93
2009	wheel	n	18296	0.93
2016	rural	j	18665	0.91
2023	noise	n	18024	0.93
2030	celebrate	v	17421	0.96
2037	useful	j	18205	0.92
2044	milk	n	17812	0.93
2051	height	n	17403	0.95
2058	first	r	17332	0.95
2065	explanation	n	17712	0.92
2072	guilty	j	17596	0.93
2079	potential	n	17523	0.92
2086	interaction	n	19144	0.84
2093	forever	r	16890	0.95
2100	review	v	16916	0.94
2107	depression	n	16976	0.93
2114	warning	n	16205	0.97
2121	permit	v	16764	0.93
2128	request	n	16241	0.96
2135	excellent	j	16094	0.96
2142	library	n	16314	0.95
2149	unable	j	15901	0.97
2156	wash	v	16314	0.93
2163	existing	j	16654	0.91
2170	fairly	r	15701	0.96
2177	tea	n	16373	0.92
2184	description	n	16415	0.91
2191	portion	n	15677	0.95
2198	lake	n	15836	0.94
2205	alcohol	n	15877	0.93
2212	error	n	15980	0.93
2219	sand	n	15658	0.94
2226	transition	n	16058	0.91
2233	reply	v	16312	0.89
2240	resistance	n	15686	0.93
2247	benefit	v	15424	0.94
2254	knife	n	15792	0.92
2261	coat	n	16010	0.90
2268	interview	v	15687	0.92
2275	urge	v	14894	0.96
2282	ordinary	j	14776	0.97
2289	numerous	j	15389	0.93
2296	moreover	r	16163	0.88
2303	sauce	n	15903	0.88
2310	advance	n	14645	0.96
2317	illness	n	14726	0.95
2324	juice	n	15388	0.90
