四六级,主词,衍生词,COCA衍生词
四,logo,,
四,lonely,loneliness,lone
四,long,length;lengthy,
六,longevity,,
六,longitude,longitudinal,
四,look,,
六,loom,,
六,loop,,
四,loophole,,
四,loose,loosen,
六,loot,,
四,lord,,
四,lorry,,
四,lose,loss,lost;loser
四,lot,,lots(COCA/初中)
六,lotion,,
六,lottery,,
四,loud,loudly,
六,lounge,,
四,love,lovely;lover,loving;loved
四,low,lower,
四,loyal,loyalty,
六,lubricate,lubrication,
四,luck,lucky,
六,lucrative,,
四,luggage,,
六,luminous,,
四,lump,,
四,lunar,,
四,lunch,luncheon,
四,lung,,
六,lure,,
四,luxury,luxurious,
六,lyric,lyrical,
四,machine,machinery,
四,mad,madden,madness
四,madam(e),,
四,magazine,,
四,magic,magical,
六,magistrate,,
四,magnet,magnetic,
四,magnificent,magnificence,
六,magnify,,
六,magnitude,,
四,maid,,
四,maiden,,
四,mail,,
四,main,,mainly
四,mainland,,
四,mainstream,,
四,maintain,maintenance,
六,majesty,majestic,
四,major,majority,
四,make,,maker;made;making
四,makeup,,
四,male,,
六,malice,malicious,
六,malignant,,
四,mall,,
六,malpractice,,
四,mammal,,
四,man,manly;manhood,
四,manage,management;manager;managerial,managing
六,mandate,mandatory,
六,maneuver/manoeuvre,,
六,manifest,manifestation,
四,manipulate,manipulation;manipulative,
四,mankind,,
四,manner,,
六,mansion,,
四,manual,,
四,manufacture,manufacturer,manufacturing
六,manuscript,,
四,many,,
四,map,,
六,mar,,
四,marathon,,
六,marble,,
四,March,,
四,march,,
四,margin,marginal,
四,marine,,
六,maritime,,
四,mark,,marker;marked
四,market,marketing,marketplace
四,marry,marriage;marital,married(研)
四,marsh,,
四,marshal,,
六,martyr,martyrdom,
四,marvel,marvel(l)ous,
四,Marxism,Marxist,
六,masculine,masculinity,
四,mask,,
四,mass,massive,
六,massacre,,
四,massage,,
四,master,mastery,
四,masterpiece,,
四,mat,,
四,match,,matching
四,mate,,
四,material,materialism;materialist;materialize/-ise,
六,maternal,maternity,
四,math(ematics)/maths,mathematical,
四,matter,,
四,mature,maturity,
四,maximum,maximize/-ise;maximal,
四,May,,
四,may,,
四,maybe,,
四,mayor,,
四,me,,
六,meadow,,
四,meal,,
四,mean,meaning;meaningful,
四,means,,
四,meantime,,
四,meanwhile,,
四,measure,measurement;measurable,
四,meat,meaty,
四,mechanic,mechanical;mechanics;mechanism,
四,mechanize/-ise,mechanization/-sation,
四,medal,,
六,mediate,mediation;mediator,
四,medical,,
四,Medicare,,
六,medication,,
四,medicine,medicinal,
六,medieval,,
四,medium,media,median
四,meet,,
四,meeting,,
六,melody,melodious,
四,melon,,
四,melt,,
四,member,membership,
四,memorandum/memo,,
四,memorial,,
四,memory,memorize/-ise,memorable
六,menace,,
四,mend,,
四,mental,mentality,mentally
四,mention,,
六,mentor,,
四,menu,,
六,merchandise,,
四,merchant,,
六,mercury,,
四,mercy,merciful,
四,mere,merely,
六,merge,merger,
四,merit,meritorious,
四,merry,merriment,
四,mess,messy,
四,message,messenger,
六,metabolism,metabolic,
四,metal,metallic,
六,metaphor,metaphorical,
四,meter/-tre,metric,
四,method,methodical;methodology,
六,meticulous,,
四,metro,,
六,metropolitan,,
四,microphone,,
四,microscope,microscopic,
四,microwave,microwavable,
四,midday,,
四,middle,,
四,middle-class,,
四,midnight,,
六,midst,,
六,midwife,,
四,might,mighty,
四,migrate,migration;migrant,
四,mild,,
四,mile,mileage,
六,milestone,,
六,militant,militancy,
四,military,,
六,militia,,
四,milk,milky,
四,mill,,
四,millimeter/-tre,,
四,million,millionaire,millionth(高考)
四,mind,,
六,mindset,,
四,mine,mineral;mining,miner
六,mingle,,
六,miniature,,
四,minimum,minimal;minimize/-ise,
四,minister,ministry;ministerial,
四,minor,minority,
六,mint,,
四,minus,,
四,minute,,
四,miracle,miraculous,
四,mirror,,
四,miserable,misery,
四,misfortune,,
四,mislead,misleading,
四,Miss,,
四,miss,,
四,missile,,
四,missing,,
四,mission,,
六,missionary,,
四,mist,misty,
四,mistake,mistaken,
四,mister/Mr.,,
四,mistress/Mrs.,,
四,misunderstand,misunderstanding,
四,mix,mixture;mixer,mixed
六,moan,,
四,mobile,,
六,mobilize/-ise,,mobility
六,mock,,
四,mode,,
四,model,,modeling
四,moderate,moderation;moderator,
四,modern,modernize/-ise;modernization/-sation,
四,modest,modesty,
四,modify,modification;modifier,
四,moist,moisture,
六,molecule,molecular,
四,moment,momentary;momentarily,
六,momentum,momentous,
四,mom(my)/mum(my),,
六,monarchy,monarch,
四,Monday,,
四,money,monetary,
四,monitor,,monitoring
四,monkey,,
六,monopoly,monopolize/-ise,
六,monotony,monotonous,
四,monster,monstrous,
四,month,monthly,
四,monument,monumental,
四,mood,moody,
四,moon,,
四,mop,,
四,moral,morality;morale(六),morally
四,more,,
四,moreover,,
四,morning,,
六,mortal,mortality,
四,mortgage,,
六,mosquito,,
四,most,mostly,
四,motel,,
四,mother,motherly,
四,motion,,
四,motivate,motivation,
四,motive,,
四,motor,,motorcycle
四,motorway,,
四,mo(u)ld,mo(u)ldy,
四,mount,mounting,
四,mountain,mountainous,
六,mourn,mourning,
四,mouse,,
四,mouth,mouthful,
四,move,movement,moving
四,movie,,
六,mow,,
四,much,,
四,mud,muddy,
四,mug,,
四,mule,,
六,multilateral,,
四,multiple,multiply;multiplication,
六,multitude,,
四,municipal,municipality,
四,murder,murderous,murderer
六,murmur,,
四,muscle,muscular,
四,museum,,
四,mushroom,,
四,music,musical;musician,
四,must,,
六,mute,,
六,mutter,,
四,mutual,,
四,my,,
四,myself,,
四,mystery,mysterious,
四,myth,mythical;mythology,
四,nail,,
六,naive,naivety,
四,naked,,
四,name,,
四,namely,,
四,nap,,
四,napkin,,
四,narrate,narration;narrative;narrator,
四,narrow,narrowly,
四,nasty,,
四,nation,national;nationality;nationalist;nationalism;international(四),nationally
四,nationwide,,
四,native,,
四,nature,natural;naturally,
四,naughty,,
六,navigate,navigation,
四,navy,naval,
四,near,nearly,nearest
四,nearby,,
四,neat,,neatly
四,necessary,necessarily,unnecessary
四,necessity,necessitate,
四,neck,,
四,necklace,,
四,need,needy,
四,needle,,
四,negate,negation;negative,
四,neglect,neglectful,
六,negligent,negligence,
六,negligible,,
四,negotiate,negotiation;negotiable,
四,neighbo(u)r,neighbo(u)rhood,neighboring
四,neither,,
四,nephew,,
四,nerve,nervous,
四,nest,,
四,net,,
四,network,networking,
四,neutral,neutrality;neutralize/-ise,
四,never,,
四,nevertheless,,
四,new,,newly
四,news,,
四,newspaper,,
四,next,,
四,nice,nicety,nicely
四,nickel,,
六,nickname,,
四,niece,,
四,night,nightly,
四,nightmare,,
六,nil,,
四,nine,,
四,nineteen,,nineteenth(高考)
四,ninety,,ninetieth(高考)
四,ninth,,
六,nitrogen,,
四,no,,
四,noble,nobility,
四,nobody,,
四,nod,,
四,noise,noisy,
六,nominal,,
六,nominate,nomination;nominee,
四,none,,
六,nonetheless,,
四,nonsense,,
四,noodle,,
四,noon,,
四,nor,,
四,norm,,
四,normal,normally;normalize/-ise;normalization/-sation;abnormal(六),
四,north,northern,
四,northeast,northeastern,
四,northwest,northwestern,
四,nose,nosy,
四,not/n't,,
四,note,notation;notable,notably
四,notebook,,
六,noteworthy,,
四,nothing,,
四,notice,noticeable,
四,notify,notification,
四,notion,notional,
六,notorious,notoriety,
六,notwithstanding,,
四,noun,,
四,nourish,nourishment,
四,novel,novelist;novelty,
四,November,,
四,now,,
四,nowadays,,
四,nowhere,,
四,nuclear,nucleus,
四,nude,nudity,
四,nuisance,,
六,numb,,
四,number/No.,,
四,numerous,numerical(六);innumerable(六);numeral,
四,nurse,,nursing
四,nursery,,
六,nurture,,
四,nut,,
四,nutrition,nutrient,
六,oak,,
六,oar,,
六,oath,,
四,obese,obesity,
四,obey,obedient;obedience,
四,object,objection,
四,objective,,
四,oblige,obligation;obliged;obligatory,
六,obscene,obscenity,
六,obscure,obscurity,
六,observatory,,
四,observe,observation;observer;observant,
六,obsess,obsession;obsessive,obsessed
四,obstacle,,
六,obstruct,obstruction,
四,obtain,obtainment,
四,obvious,obviously,
四,occasion,occasional;occasionally,
四,occupation,occupational,
四,occupy,occupancy;occupant,
四,occur,occurrence,
四,ocean,oceanic,
四,o'clock,,
四,October,,
四,odd,oddity,oddly
四,odds,,
四,odo(u)r,odorous,
四,of,,
四,off,,
四,offend,offense/-ce;offensive;offender,
四,offer,offering,
四,office,,
四,officer,,
四,official,,officially
六,offset,,
六,offspring,,
四,often/oftentimes,,
四,oil,oily,
四,okay/O.K./OK/ok,,ok;OK
四,old,,
四,old-fashioned,,
六,olive,,
四,Olympic,Olympics;Olympiad,
四,omit,omission,
四,on,,
四,once,,
四,one,,
四,oneself,,
四,ongoing,,
四,onion,,
四,online,,
四,only,,
六,onset,,
四,onto,,
四,onward,,
六,opaque,,
四,open,opener;opening;openly,reopen
四,opera,,
四,operate,operation;operational;operator,operating
六,operative,,
四,opinion,,
四,opportunity,,
四,oppose,opposition;opponent,opposed;opposing
四,opposite,,
六,oppress,oppression;oppressive,
四,opt,option;optional,
六,optic,optical,
四,optimism,optimistic;optimist,
六,optimum,optimal,
四,or,,
四,oral,,
四,orange,,
四,orbit,orbital,
四,orchestra,,
六,ordeal,,
四,order,orderly,
四,ordinary,,
四,ore,,
四,organ,,
四,organic,,
四,organism,,
四,organize/-ise,organization/-sation;organizational/-sational,organized;organizer
四,orient,orientation;oriental,
四,origin,original;originality;originate,originally
四,ornament,ornamental,
四,orphan,orphanage,
六,orthodox,,
四,other,,others(COCA/初中)
四,otherwise,,
四,ought(-to),,
四,ounce,,
四,our,,
四,ours,,
四,ourselves,,
四,out,,
四,outbreak,,
四,outcome,,
四,outdated,,
四,outdoor,outdoors,
四,outer,,
六,outfit,,
四,outgoing,,
四,outing,,
六,outlaw,,
四,outlet,,
四,outline,,
四,outlook,,
四,output,,
六,outrage,outrageous,
四,outset,,
四,outside,outsider,
四,outskirts,,
四,outstanding,,
四,outward,outwards,
四,oval,,
四,oven,,
四,over,,overly
四,overall,,
四,overcoat,,
四,overcome,,
四,overdue,,
六,overflow,,
六,overhaul,,
四,overhead,,
四,overhear,,
六,overlap,,
四,overlook,,
四,overnight,,
六,override,,
四,overseas,,
四,oversee,,
四,oversight,,
六,overstate,,
六,overt,,
四,overtake,,
四,overthrow,,
四,overtime,,
六,overturn,,
四,overwhelm,overwhelming;overwhelmingly,
四,owe,owing(-to),
六,owl,,
四,own,owner;ownership,
四,ox,,
六,oxide,,
四,oxygen,,
四,ozone,,
四,pace,,
四,pack,,
四,package,,
四,packet,,
六,pact,,
四,pad,,
四,paddy,,
四,page,,
四,pain,painful,
四,paint,painting;painter,painted
四,pair,,
四,palace,,
四,pale,,
四,palm,,
六,pamphlet,,
四,pan,,
四,panda,,
四,panel,,
四,panic,,
六,panorama,panoramic,
六,pant,,
四,pants,,
四,paper,,
四,paperback,,
六,parachute,,
四,parade,,
六,paradigm,,
六,paradise,,
四,paradox,paradoxical,
四,paragraph,,
四,parallel,,
六,paralyze/-yse,paralysis,
六,parameter,,
六,parasite,,
四,parcel,,
四,pardon,,
四,parent,parental;parenting,
六,parish,,
四,park,parking,
四,parliament,parliamentary,
六,parole,,
六,parrot,,
四,part,partial;partially,
四,participate,participation;participant,
四,particle,,
四,particular,particularly,
六,partisan,,bipartisan
六,partition,,
四,partly,,
四,partner,partnership,
四,party,,
四,pass,,passing
四,passage,,
四,passenger,,
六,passerby/passer-by/passer,,
四,passion,passionate,
四,passive,,
四,passport,,
四,password,,
四,past,,
六,pasta,,
四,paste,,
四,pastime,,
六,pastry,,
六,pasture,,
四,pat,,
四,patch,,
四,patent,,
四,path,,
六,pathetic,,
四,patient,patience,
六,patriot,patriotic;patriotism,
六,patrol,,
六,patron,patronize/-ise;patronage,
四,pattern,,
四,pause,,
四,pave,pavement/sidewalk(美),
四,paw,,
四,pay,payment,
四,payroll,,
四,pea,,
四,peace,peaceful,
四,peach,,
四,peak,,
四,peanut,,
四,pear,,
四,pearl,,
四,peasant,,
六,peck,,
四,peculiar,peculiarity,
六,pedal,,
六,peddle,,
四,pedestrian,,
六,peel,,
六,peep,,
四,peer,,
六,peg,,
四,pen,,
四,penalty,penalize/-ise,
四,pencil,,
六,pending,,
六,pendulum,,
四,penetrate,penetration,
六,penguin,,
六,peninsula,,
四,penny,,pence(高考)
四,pension,pensioner,
四,people,,
四,pepper,,
四,per,,
四,perceive,perception;perceptive,perceived
四,percent,percentage,
六,perch,,
四,perfect,perfection,perfectly
四,perform,performance;performer,
六,perfume,,
四,perhaps,,
四,peril,perilous,
四,period,periodic;periodical,
六,perish,,
四,permanent,permanence,permanently
六,permeate,permeation,
四,permit,permission;permissible;permissive,
六,perpetual,perpetuate,
六,perplex,perplexity,
六,persecute,persecution,
四,persevere,perseverance,
四,persist,persistent;persistence,
四,person,personal;personally;personality,
四,personnel,,
四,perspective,,
四,persuade,persuasion;persuasive,
四,pessimism,pessimistic;pessimist,
六,pest,,
六,pesticide,,
四,pet,,
六,petition,petitioner,
六,petrochemical,,
四,petrol,,
四,petroleum,,
四,petty,,
六,pharmacy,pharmaceutical,
四,phase,,
四,phenomenon,,
四,philosophy,philosophical;philosopher,
四,photo(graph),photographic;photographer;photography,photograph
四,phrase,phrasal,
四,physical,,physically
四,physician,,
四,physics,physicist,
六,physiological,,
四,piano,pianist,
四,pick,picky,pickup
四,picnic,,
四,picture,picturesque,
四,pie,,
四,piece,,
四,pierce,,
四,pig,,
四,pigeon,,
四,pile,,
六,pilgrim,pilgrimage,
四,pill,,
四,pillar,,
四,pillow,,
四,pilot,,
四,pin,,
四,pinch,,
四,pine,,
四,pink,,
四,pint,,
四,pioneer,,
四,pipe,,
四,pirate,piracy,
四,pistol,,
四,pit,,
四,pitch,,pitcher
四,pity,,
四,pizza,,
四,place,placement,
四,plague,,
四,plain,,
六,plaintiff,,
四,plan,planning;planner,planned
四,plane,,
四,planet,planetary,
四,plant,plantation,implant
四,plastic,,
四,plate,,
六,plateau,,
四,platform,,
六,plausible,,
四,play,player,
四,playground,,
六,plaza,,
六,plea,,
六,plead,,
四,please,pleasure;pleasant;pleasing,pleased(高考);unpleasant
四,pledge,,
四,plenty,plentiful,
六,plight,,
四,plot,,
四,plow/plough,,
四,plug,,
六,plumber,,
六,plumbing,,
四,plunge,,
四,plural,,
四,plus,,
四,pocket,,
四,podcast,,
四,poem,poetry,
四,poet,poetic,poetess
四,point,pointless,
六,poise,poised,
四,poison,poisonous,
六,poke,,
四,pole,polar,
四,police,policeman,
四,policy,,
四,polish,,
四,polite,politeness,
四,politics,political;politician,politically
四,poll,pollster,
四,pollute,pollution;pollutant,
六,polytechnic,,
四,pond,,
六,ponder,,
四,pool,,
四,poor,poverty,poorly
四,pop,,
四,popular,popularity,
四,population,populous;populate,
六,porcelain,,
六,porch,,
四,pork,,
六,porridge,,
四,port,portable;porter,
六,portfolio,,
四,portion,,
六,portray,portrayal;portrait,
四,pose,posture,
四,position,,
四,positive,,positively
四,possess,possession;possessive,
四,possible,possibility;possibly,
四,post,postage;postman,postcode(高考)
四,postcard,,
四,poster,,
四,postpone,postponement,
四,pot,,
四,potato,,
六,potent,,
四,potential,potentiality,potentially
六,pottery,,
六,poultry,,
四,pound,,
四,pour,,
四,powder,,
四,power,powerful,empower
四,practical,practicality,practically
四,practice/-ise,practicable,
六,practitioner,,
四,praise,,
四,pray,prayer,
四,preach,preacher,
四,precaution,precautionary,
六,precede,preceding;precedent,
四,precious,,
四,precise,precision;precisely,
六,predator,predatory,
六,predecessor,,
四,predict,prediction;predictable,predictor;unpredictable
六,predominate,predominance;predominant,predominantly
四,preface,,
四,prefer,preferable;preference;preferential,preferred;referral
四,pregnant,pregnancy,
四,prejudice,,
四,preliminary,,
六,premature,,
四,premier,,
六,premise,,
六,premium,,
六,preoccupy,preoccupied,
四,prepare,preparation;preparatory,prepared
四,preposition,,
六,prerequisite,,
四,prescribe,prescription,
四,present,presence;presentation;presently,
四,preserve,preservation;preservative,
六,preside,,
四,president,presidency;presidential,
四,press,pressure;pressing,
六,prestige,prestigious,
六,presume,presumption;presumably,
四,pretend,pretense/-ce,
六,pretext,,
四,pretty,,
四,prevail,prevalence;prevalent,prevailing
四,prevent,prevention;preventive,
四,preview,,
四,previous,,previously
六,prey,,
四,price,priceless,
四,pride,proud,proudly
四,priest,,
四,primary,primarily,
四,prime,,
四,primitive,,
四,prince,princess,
四,principal,,
四,principle,,
四,print,printer;printing,
四,prior,priority,
四,prison,prisoner,
四,private,privacy;privatize/-ise;privatization/-sation,privately
四,privilege,privileged,
四,prize,,
四,probable,probability;probably,
六,probe,,
四,problem,problematic,
四,procedure,,
四,proceed,proceeding(s),
四,process,processor,processing
四,procession,,
四,proclaim,proclamation,
四,produce,production;productive;productivity,producer(COCA/高中)
四,product,,
四,profession,professional/pro,
四,professor,,
四,proficient,proficiency,
六,profile,,
四,profit,profitable,nonprofit
四,profound,,profoundly
四,program(me),,programming
四,progress,progressive;progression,
四,prohibit,prohibition;prohibitive,
四,project,projector;projection,
六,prolong,,
四,prominent,prominence,
四,promise,promising,
四,promote,promotion,
四,prompt,,promptly
六,prone,,
四,pronoun,,
四,pronounce,pronunciation,
四,proof,,
六,proofread,,
六,prop,,
六,propaganda,,
六,propagate,propagation,
六,propel,propeller,
四,proper,,properly(高考)
四,property,,
四,proportion,proportional,
四,propose,proposal;proposition,proposed
四,prose,,
六,prosecute,prosecution,prosecutor
四,prospect,prospective,
六,prosper,prosperity;prosperous,
四,protect,protection;protective,protected
四,protein,,
四,protest,,protestant;protester
六,protocol,,
六,prototype,,
四,prove,,
四,proverb,proverbial,
四,provide,provision,provider
四,provided,,
四,province,provincial,
四,provoke,provocation;provocative,
六,proximate,proximity,
六,psychiatry,psychiatric;psychiatrist,
四,psychology,psychological;psychologist,
四,pub,,
四,public,publicize/-ise;publicity;publicly,
四,publish,publication,publisher;publishing
六,pudding,,
四,pull,,
四,pulse,,
四,pump,,
六,pumpkin,,
四,punch,,
四,punctual,punctuality,
四,punish,punishment,
四,pupil,,
四,purchase,,
四,pure,purity;purify,purely
四,purple,,
四,purpose,purposeful,
四,purse,,
四,pursue,pursuit,
四,push,pushy,
四,put,,
四,puzzle,puzzlement,
六,pyramid,,
四,quake,,
四,qualify,qualification,qualified
四,quality,qualitative,
四,quantify,quantification,
四,quantity,quantitative,
四,quarrel,quarrelsome,
六,quart,,
四,quarter,quarterly,quarterback
四,queen,,
六,query,,
六,quest,,
四,question,questionnaire,questionable
四,queue,,
四,quick,,quickly(COCA/初中)
四,quiet,,quietly
四,quit,,
四,quite,,
六,quiver,,
四,quiz,,
四,quota,,
四,quote,quotation,
四,rabbit,,
四,race,racial;racism;racist,
四,rack,,
四,radar,,
六,radiate,radiation;radiator;radiant,
四,radical,,radically
四,radio,,
六,radioactive,radioactivity,
四,rag,ragged;raggedly,
四,rage,raging,
四,raid,,
四,rail,,
四,railroad/railway,,
四,rain,rainy,
四,rainbow,,
四,raincoat,,
四,raise,,
四,rally,,
六,ranch,,
六,random,,randomly
四,range,,
四,rank,,ranking
六,rap,,
六,rape,,
四,rapid,rapidity,rapidly
四,rare,rarely;rarity,
六,rash,,
四,rat,,
四,rate,rating,
四,rather,,
六,ratify,ratification,
四,ratio,,
六,ration,,
四,rational,irrational(四),rationale
六,rattle,,
四,raw,,
四,ray,,
四,reach,,
四,react,reaction;reactionary,reactor
四,read,reading;reader,
四,ready,readily,
四,real,really;reality,
四,realistic,realism,
四,realize/-ise,realization/-sation,
四,realm,,
四,reap,,
四,rear,,
四,reason,reasonable,reasonably;reasoning
六,reassure,reassurance,
四,rebel,rebellion;rebellious,
四,recall,,
六,recede,,
四,receive,receipt;recipient;receptive;receiver,
四,recent,recently,
四,reception,receptionist,
四,recession,,
六,recipe,,
六,reciprocal,,
四,recite,recitation,
六,reckless,,
四,reckon,,
四,recognize/-ise,recognition,
四,recommend,recommendation,
六,reconcile,reconciliation;reconciliatory,
四,record,recorder;recording,
四,recover,recovery,
四,recreation,recreational,
四,recruit,recruitment,
六,rectify,rectification,
六,recur,recurrence,
四,recycle,recyclable,recycling
四,red,,
四,reduce,reduction,reduced
六,redundant,redundancy,
六,reel,,
四,refer,reference/ref,
六,referee,,
六,referendum,,
四,refine,refinery;refinement,
四,reflect,reflection/-xion;reflective,
四,reform,reformation;reformist,reformer
四,refrain,,
四,refresh,,
四,refreshment,,
四,refrigerator/fridge,refrigeration,
六,refuge,refugee,
四,refuse,refusal,
六,refute,refutation,
四,regard,,
四,regarding,,
四,regardless,,
六,regime,,
六,regiment,regimental,
四,region,regional,
四,register,registration;registrar,registered
四,regret,regrettable;regretful,
四,regular,regularity;irregular(四),regularly
四,regulate,regulation;regulatory;regulator,
六,rehabilitate,rehabilitation,
六,rehearse,rehearsal,
六,reign,,
六,rein,,
四,reinforce,reinforcement,
四,reject,rejection,
六,rejoice,rejoicing,
四,relate,relation;relationship,related
四,relative,relativity,relatively(COCA/初中)
四,relax,relaxation,relaxed
四,relay,,
四,release,,
六,relentless,,
四,relevant,relevance,irrelevant
六,relic,,
四,relieve,relief,
四,religion,religious,
六,relish,,
四,reluctant,reluctance,
四,rely,reliance;reliable,
四,remain,remainder,remains(研);remainder;remaining
四,remark,remarkable,remarkably
四,remedy,remedial,
四,remember,remembrance,
四,remind,reminder,
六,reminiscent,reminiscence,
六,remnant,,
四,remote,,
四,remove,removal,
六,renaissance,,
四,render,rendering,
四,renew,renewal;renewable,renewed
四,renovate,renovation,
六,renown,renowned,
四,rent,rental,
四,repair,reparable,
四,repay,repayment,
四,repeat,repetition;repetitive;repeatedly,repeated
六,repel,,
六,repertoire,,
四,replace,replacement,
四,reply,,
四,report,reporter,reporting;reportedly;reported
四,represent,representation;representative,
六,repress,repression;repressive,
六,reproach,,
四,reproduce,reproduction;reproductive,
四,republic,republican,Republican
四,reputation,,
六,repute,reputable,
四,request,,
四,require,requirement,required
四,rescue,,
四,research,researcher,
四,resemble,resemblance,
四,resent,resentment,
四,reserve,reservation;reserved,
六,reservoir,,
六,reshuffle,,
四,reside,residence;resident;residential,
四,resign,resignation,
四,resist,resistance;resistant,
四,resolve,resolution;resolute,
四,resort,,
四,resource,resourceful,
四,respect,respectable;respectful,respected
四,respective,respectively,
四,respond,response;responsive;respondent,
四,responsible,responsibility,
四,rest,unrest,
四,restaurant,,
六,restless,,
四,restore,restoration,
四,restrain,restraint,
四,restrict,restriction;restrictive,
四,result,resultant,resulting
四,resume,resumption,
四,retail,retailer,
四,retain,retention,
六,retaliate,retaliation,
六,retarded,,
四,retell,retelling,
四,retire,retirement;retired,
六,retort,,
四,retreat,,
六,retrieve,retrieval,
六,retrospect,retrospective,
四,return,,
四,reunite,reunification;reunion,
四,reveal,revelation,
六,revenge,revengeful,
四,revenue,,
四,reverse,reversal;reversible,
四,review,reviewer,
四,revise,revision,
六,revive,revival,
六,revolt,,
四,revolution,revolutionary,
四,revolve,,
四,reward,rewarding,
六,rhetoric,rhetorical,
四,rhythm,rhythmic,
四,rib,,
四,ribbon,,
四,rice,,
四,rich,,
四,rid,,
四,riddle,,
四,ride,rider,
六,ridge,,
四,ridicule,ridiculous,
四,rifle,,
六,rig,,
四,right,,
六,rigid,rigidity,
六,rigo(u)r,rigorous,
六,rim,,
四,ring,,
四,riot,riotous,
四,rip,,
四,ripe,ripen,
四,rise,,rising
四,risk,risky,
六,ritual,,
四,rival,rivalry,
四,river,,
四,road,,
四,roar,uproar,
四,roast,,
四,rob,robbery,
四,robot,robotic,
六,robust,,
四,rock,rocky,
四,rocket,,
四,rod,,
四,role,,
四,roll,roller,rolling
四,romance,romantic,
四,roof,,
四,room,,roommate
四,root,,
四,rope,,
四,rose,rosy,
六,rot,rotten,
六,rotate,rotation,
四,rough,roughly,
四,round,,
四,rouse,,
四,route,,
四,routine,,routinely
四,row,,
四,royal,royalty,
四,rub,,
四,rubber,,
四,rubbish,,
四,rude,,
四,rug,,
四,ruin,ruinous,
四,rule,ruler;ruling,
四,rumo(u)r,,
四,run,runner;running,ran
四,runway,,
四,rural,,
四,rush,,
六,rust,rusty,
六,ruthless,,
四,sack,,
六,sacred,,
四,sacrifice,sacrificial,
四,sad,sadness;sadden,sadly
六,saddle,,
四,safe,safety,safely
六,safeguard,,
四,sail,sailing;sailor,
四,saint,,
四,sake,,
四,salad,,
四,salary,,
四,sale,,salesgirl(高考);sales(COCA/初中)
四,salesman,,
六,salmon,,
六,salon,,
四,salt,salty,
六,salute,salutation,
六,salvage,,
六,salvation,,
四,same,,
四,sample,,sampling
六,sanction,,
六,sanctuary,,
四,sand,,sandy
四,sandwich,,
六,sanitation,sanitary,
六,sarcasm,sarcastic,
四,satellite,,
六,satire,satirical;satirist,
四,satisfy,satisfaction;satisfactory,satisfied;satisfying
六,saturate,saturation,saturated
四,Saturday,,
四,sauce,,saucer(高考)
四,sausage,,
六,savage,,
四,save,saving,
四,say,said;saying,
四,scale,,large-scale
四,scan,scanner,
四,scandal,scandalous,
四,scar,,
四,scarce,scarcity;scarcely,
四,scare,scary,scared
四,scatter,,
六,scenario,,
四,scene,scenery;scenic,
四,scent,,
四,schedule,,
四,scheme,,
四,scholar,scholarly;scholarship;scholastic,
四,school,schooling,schoolbag(高考);schoolboy(高考);schoolgirl(高考);schoolmate(高考)
四,science,scientific;scientist,
四,scissors,,
四,scold,,
四,scope,,
四,score,,underscore;scoring
六,scorn,scornful,
四,scout,,
六,scramble,,
六,scrap,,
六,scrape,,
四,scratch,,
四,scream,,
四,screen,,screening
四,screw,,
四,script,scripture,
六,scrub,,
六,scrutiny,scrutinize/-ise,
六,sculpture,,
四,sea,,
四,seal,,
四,search,,
四,season,seasonal,
四,seat,,
四,second,,
四,secondary,,
四,second-hand,,
四,secret,secrecy;secretive,secretly
四,secretary,secretarial,
四,section,intersection,
四,sector,,
六,secular,,
四,secure,security,
六,seduce,seduction;seductive,
四,see,seen,saw
四,seed,seedling,
四,seek,,
四,seem,seeming;seemingly,
四,segment,segmental,
六,segregate,segregation,
四,seize,seizure,
四,seldom,,
四,select,selection;selective,selected
四,self,selfish;selfless,
四,sell,,seller
四,semester,,
四,seminar,,
四,senate,senator,Senate
四,send,,sent
四,senior,seniority,
六,sensation,sensational,
四,sense,sensible;sensor,sensibility
四,sensitive,sensitivity,
四,sentence,,
六,sentiment,sentimental,
四,separate,separation;separatist,separately
四,September,,
四,sequence,sequential,
六,sergeant,,
六,serial,,
四,series,,
四,serious,,seriously
四,servant,,
四,serve,service;serving,server
四,session,,
四,set,,
四,setback,,
四,setting,,
四,settle,settlement,settler(高考)
四,seven,,seventh(高考)
四,seventeen,,seventeenth(高考)
四,seventy,,seventieth(高考)
四,several,,
四,severe,severity,severely
四,sew,,
四,sex,sexy;sexual,sexually;sexuality
六,shabby,,
四,shade,shady,
四,shadow,,
六,shaft,,
四,shake,shaky,
四,shall,,I'll(=I shall);we'll(=we shall)
四,shallow,,
四,shame,shameful;shameless,
四,shape,,
四,share,,shared;shareholder
六,shark,,
四,sharp,sharpen,sharpener(高考);sharply
六,shatter,,
四,shave,shaver,
四,she,,
四,shed,,
四,sheep,,
四,sheer,,
四,sheet,,
四,shelf,,
四,shell,,
四,shelter,,
六,shepherd,,
六,shield,,
四,shift,,
四,shine,shiny,
四,ship,shipping;shipment,
六,shipyard,,
四,shirt,T-shirt,
四,shit,,
四,shiver,,
四,shock,,shocked;shocking
四,shoe,,
四,shoot,,shooting;shooter
四,shop,shopping,shopper
四,shore,,
四,short,shortage;shorts,
四,shortcoming,,
六,shorthand,,
四,shortly,,
四,shot,,
四,should,,
四,shoulder,,
四,shout,,
六,shove,,
四,show,showy,shown
六,showcase,,
四,shower,,
六,shred,,
