#freq	word	小学	初中	高中	大学	大学教纲	新概念	四级	六级	考研	专四	专八	BEC	CATTI	IELTS	TOEFL	SAT	GRE	GMAT	MBA	TOEIC
553	pull		1	1		1	1	1	1	1				1	1					1	
554	throw	1	1	1		1	1	1	1	1										1	
555	cool	1	1	1		1	1	1	1	1										1	
556	calling					2			1												
557	unless		1	1		1	1	1	1	1				1						1	
561	past	1	1	1		1	1	1	1	1				1						1	
562	hair	1	1	1		1		1	1	1				1						1	
564	except	1	1	1		1	1	1	1	1										1	
565	top	1	1	1		1		1	1	1										1	
566	food		1	1		1	1	1	1	1				1						1	
567	finally	1	1	1		1	1	1	1	1										1	
568	straight	1	1	1		1	1	1	1	1	1									1	
569	sweet	1	1	1		1	1	1	1	1										1	
570	wonder	1	1	1		1	1	1	1	1	1			1						1	
572	drop	1	1	1	1	1	1	1	1	1										1	
574	small	1	1	1		1	1	1	1	1										1	
575	plan	1	1	1		1		1	1	1				1			1			1	
576	somewhere	1	1	1		1		1	1	1										1	
577	less		1	1		1		1	1	1										1	
578	blood		1	1		1		1	1	1										1	
579	none		1	1		1		1	1	1				1						1	
580	safe	1	1	1		1	1	1	1	1								1		1	
581	sign	1	1	1		1	1	1	1	1					1					1	
582	piece	1	1	1		1	1	1	1	1				1						1	
583	cold	1	1	1		1	1	1	1	1			1					1			
587	clean	1	1	1	1	1	1	1	1	1										1	
588	dear	1	1	1		1	1	1	1	1										1	
590	follow	1	1	1	1	1	1	1	1	1				1						1	
592	Mrs						1														
593	learn	1	1	1		1	1	1	1	1				1						1	
594	street	1	1	1		1	1	1	1	1										1	
595	works			1					1											1	
596	explain		1	1			1	1	1	1										1	
597	ass					3			1												
599	husband		1	1		1	1	1	1	1				1				1		1	
601	possible		1	1		1		1	1	1				1						1	
602	police		1	1		1	1	1	1	1				1						1	
603	wonderful	1	1	1		1	1	1	1	1				1						1	
604	white	1	1	1		1	1	1	1	1				1						1	
605	lie	1	1	1		1	1	1	1	1				1						1	
608	step	1	1	1		1	1	1	1	1										1	
609	air	1	1	1	1	1	1	1	1	1					1	1				1	
610	fall	1	1	1		1	1	1	1	1					1					1	
611	city	1	1	1		1	1	1	1	1										1	
612	moving		1																		
613	scared		1																		
615	meeting		1	1		1		1	1	1										1	
616	expect		1	1		1	1	1	1	1										1	
617	rather		1	1		1		1	1	1										1	
618	worth		1	1		1	1	1	1	1										1	
619	country	1	1	1		1	1	1	1	1										1	
620	absolutely			1	1			1	1							1					
621	become	1	1	1		1		1	1	1					1					1	
622	early		1	1		1	1	1	1	1										1	
623	company		1	1	1	1	1	1	1	1			1		1					1	
625	children	1	1				1														
627	ten	1	1	1		1		1	1	1										1	
628	handle			1	1	1	1	1	1	1	1		1	1	1			1		1	
629	shoot		1	1		1	1	1	1	1								1		1	
630	control		1	1		1	1	1	1	1								1	1	1	
631	careful	1	1	1		1	1	1	1	1						1				1	
633	worse		1	1		1		1	1	1										1	
634	book	1	1	1		1	1	1	1	1					1					1	
635	poor	1	1	1		1		1	1	1				1						1	
637	eye	1	1	1		1		1	1	1					1					1	
638	busy	1	1	1		1	1	1	1	1										1	
639	beat		1	1		1	1	1	1	1			1	1	1	1		1		1	
